Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D6.3mm_P2.50mm,1,100u,
"C10, C11, C12, C13, C14, C15, C16, C18, C19, C20, C3, C4, C5, C6, C8, C9",0805,16,100n,
C17,1206,1,10u,
"C2, C7",1206,2,4u7,
C21,0805,1,1n,
D1,0805,1,BLUE,
D2,0805,1,LED_PWR,
D3,0805,1,YELLOW,
D4,0805,1,GREEN,
J1,PinSocket_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
"J10, J5, J9",PinSocket_1x02_P2.54mm_Vertical,3,Conn_01x02,
J2,PinSocket_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J4, J7, J8",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,
"R1, R10, R11, R2, R3, R4, R7, R8, R9",0805,9,10k,
"R5, R6",0805,2,1k5,
SW1,SW_PUSH_6mm,1,SW_Push,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G431RBTx,
U2,TSSOP-16_4.4x5mm_P0.65mm,1,TPT3232A-TS3R,
U3,TSSOP-8_3x3mm_P0.65mm,1,PCT2075,
U4,MPRLS0025PA00002A,1,MPRLS0025,
U5,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
U6,MEM2067-02-180-00-A,1,MEM2067-02-180-00-A,
