Designator,Mid X,Mid Y,Rotation,Layer
C1,37.15162,85.217,0.0,top
C10,38.481,54.102,135.0,top
C11,57.649511,74.924404,90.0,top
C12,69.64751,74.039903,180.0,top
C13,20.474204,40.600193,0.0,top
C14,69.64751,77.849903,0.0,top
C15,69.64751,80.389902,0.0,top
C16,65.02451,73.011904,180.0,top
C17,67.818,22.098,180.0,top
C18,18.265,22.307497,270.0,top
C19,67.564,19.6596,180.0,top
C2,48.387,70.739,45.0,top
C20,16.56,50.459,180.0,top
C21,27.115001,22.2075,270.0,top
C3,57.277,57.658,0.0,top
C4,57.277,55.626,0.0,top
C5,49.4245,67.183,315.0,top
C6,43.815,49.403,135.0,top
C7,56.388,51.435,270.0,top
C8,37.338,58.42,90.0,top
C9,54.102,52.578,270.0,top
D1,49.6824,9.017,270.0,top
D2,17.526,82.722,90.0,top
D3,44.45,9.017,270.0,top
D4,39.2176,9.017,270.0,top
J1,33.804999,91.68,90.0,top
J10,35.42946461210692,73.18381961210692,135.0,top
J2,8.636,77.089,180.0,top
J3,37.59200016367926,68.19900016367926,315.0,top
J4,36.576,38.862,270.0,top
J5,85.242,64.115,0.0,top
J7,61.51951,83.818904,270.0,top
J8,9.525,48.895,180.0,top
J9,8.616,66.396,270.0,top
R1,52.2986,9.017,90.0,top
R10,67.564,17.2212,180.0,top
R11,67.564,26.9748,180.0,top
R2,19.685,82.677,270.0,top
R3,47.0662,9.017,90.0,top
R4,41.8338,9.017,90.0,top
R5,34.671,59.436,90.0,top
R6,32.385,59.436,90.0,top
R7,56.134,66.294,225.0,top
R8,67.564,14.7828,180.0,top
R9,67.564,24.5364,180.0,top
SW1,33.19491270347398,49.838893218813446,225.0,top
U1,46.7,58.199999,315.0,top
U2,63.01201,77.086903,90.0,top
U3,20.511704,35.450195,0.0,top
U4,31.205,18.985,180.0,top
U5,16.174506,53.316092,0.0,top
U6,87.981,19.48,90.0,top
